DrainI(1),DrainV(1),GateV(1),DrainI(2),DrainV(2),GateV(2),DrainI(3),DrainV(3),GateV(3),DrainI(4),DrainV(4),GateV(4),DrainI(5),DrainV(5),GateV(5),DrainI(6),DrainV(6),GateV(6),DrainI(7),DrainV(7),GateV(7),DrainI(8),DrainV(8),GateV(8),DrainI(9),DrainV(9),GateV(9),DrainI(10),DrainV(10),GateV(10),DrainI(11),DrainV(11),GateV(11)
193.6748E-12,3.3000E+0,0.0000E+0,-34.2089E-12,3.3000E+0,500.0000E-3,21.1265E-9,3.3000E+0,1.0000E+0,19.6918E-6,3.3000E+0,1.5000E+0,234.7856E-6,3.3000E+0,2.0000E+0,702.9966E-6,3.3000E+0,2.5000E+0,1.3830E-3,3.3000E+0,3.0000E+0,2.2351E-3,3.3000E+0,3.5000E+0,3.2304E-3,3.3000E+0,4.0000E+0,4.3440E-3,3.3000E+0,4.5000E+0,5.5508E-3,3.3000E+0,5.0000E+0
181.0483E-12,3.3500E+0,0.0000E+0,-37.5424E-12,3.3500E+0,500.0000E-3,21.1624E-9,3.3500E+0,1.0000E+0,19.7037E-6,3.3500E+0,1.5000E+0,234.8884E-6,3.3500E+0,2.0000E+0,703.3378E-6,3.3500E+0,2.5000E+0,1.3836E-3,3.3500E+0,3.0000E+0,2.2363E-3,3.3500E+0,3.5000E+0,3.2322E-3,3.3500E+0,4.0000E+0,4.3467E-3,3.3500E+0,4.5000E+0,5.5549E-3,3.3500E+0,5.0000E+0
182.8665E-12,3.4000E+0,0.0000E+0,-33.3503E-12,3.4000E+0,500.0000E-3,21.2079E-9,3.4000E+0,1.0000E+0,19.7091E-6,3.4000E+0,1.5000E+0,234.9885E-6,3.4000E+0,2.0000E+0,703.6649E-6,3.4000E+0,2.5000E+0,1.3843E-3,3.4000E+0,3.0000E+0,2.2374E-3,3.4000E+0,3.5000E+0,3.2340E-3,3.4000E+0,4.0000E+0,4.3494E-3,3.4000E+0,4.5000E+0,5.5590E-3,3.4000E+0,5.0000E+0
148.8759E-12,3.4500E+0,0.0000E+0,-40.2192E-12,3.4500E+0,500.0000E-3,21.2571E-9,3.4500E+0,1.0000E+0,19.7175E-6,3.4500E+0,1.5000E+0,235.1005E-6,3.4500E+0,2.0000E+0,703.9657E-6,3.4500E+0,2.5000E+0,1.3849E-3,3.4500E+0,3.0000E+0,2.2385E-3,3.4500E+0,3.5000E+0,3.2357E-3,3.4500E+0,4.0000E+0,4.3519E-3,3.4500E+0,4.5000E+0,5.5629E-3,3.4500E+0,5.0000E+0
129.4310E-12,3.5000E+0,0.0000E+0,-38.6030E-12,3.5000E+0,500.0000E-3,21.2888E-9,3.5000E+0,1.0000E+0,19.7221E-6,3.5000E+0,1.5000E+0,235.2076E-6,3.5000E+0,2.0000E+0,704.2544E-6,3.5000E+0,2.5000E+0,1.3856E-3,3.5000E+0,3.0000E+0,2.2396E-3,3.5000E+0,3.5000E+0,3.2374E-3,3.5000E+0,4.0000E+0,4.3543E-3,3.5000E+0,4.5000E+0,5.5665E-3,3.5000E+0,5.0000E+0
132.0573E-12,3.5500E+0,0.0000E+0,-36.6837E-12,3.5500E+0,500.0000E-3,21.2998E-9,3.5500E+0,1.0000E+0,19.7325E-6,3.5500E+0,1.5000E+0,235.2982E-6,3.5500E+0,2.0000E+0,704.5749E-6,3.5500E+0,2.5000E+0,1.3862E-3,3.5500E+0,3.0000E+0,2.2407E-3,3.5500E+0,3.5000E+0,3.2391E-3,3.5500E+0,4.0000E+0,4.3568E-3,3.5500E+0,4.5000E+0,5.5701E-3,3.5500E+0,5.0000E+0
98.6727E-12,3.6000E+0,0.0000E+0,-35.8756E-12,3.6000E+0,500.0000E-3,21.2913E-9,3.6000E+0,1.0000E+0,19.7461E-6,3.6000E+0,1.5000E+0,235.4116E-6,3.6000E+0,2.0000E+0,704.9010E-6,3.6000E+0,2.5000E+0,1.3868E-3,3.6000E+0,3.0000E+0,2.2418E-3,3.6000E+0,3.5000E+0,3.2407E-3,3.6000E+0,4.0000E+0,4.3592E-3,3.6000E+0,4.5000E+0,5.5736E-3,3.6000E+0,5.0000E+0
79.2279E-12,3.6500E+0,0.0000E+0,-40.5222E-12,3.6500E+0,500.0000E-3,21.2962E-9,3.6500E+0,1.0000E+0,19.7556E-6,3.6500E+0,1.5000E+0,235.5183E-6,3.6500E+0,2.0000E+0,705.1882E-6,3.6500E+0,2.5000E+0,1.3875E-3,3.6500E+0,3.0000E+0,2.2428E-3,3.6500E+0,3.5000E+0,3.2423E-3,3.6500E+0,4.0000E+0,4.3615E-3,3.6500E+0,4.5000E+0,5.5769E-3,3.6500E+0,5.0000E+0
82.8643E-12,3.7000E+0,0.0000E+0,-40.1181E-12,3.7000E+0,500.0000E-3,21.2983E-9,3.7000E+0,1.0000E+0,19.7600E-6,3.7000E+0,1.5000E+0,235.6105E-6,3.7000E+0,2.0000E+0,705.5239E-6,3.7000E+0,2.5000E+0,1.3880E-3,3.7000E+0,3.0000E+0,2.2438E-3,3.7000E+0,3.5000E+0,3.2437E-3,3.7000E+0,4.0000E+0,4.3638E-3,3.7000E+0,4.5000E+0,5.5801E-3,3.7000E+0,5.0000E+0
60.0860E-12,3.7500E+0,0.0000E+0,-32.7443E-12,3.7500E+0,500.0000E-3,21.3029E-9,3.7500E+0,1.0000E+0,19.7693E-6,3.7500E+0,1.5000E+0,235.7192E-6,3.7500E+0,2.0000E+0,705.7869E-6,3.7500E+0,2.5000E+0,1.3887E-3,3.7500E+0,3.0000E+0,2.2448E-3,3.7500E+0,3.5000E+0,3.2453E-3,3.7500E+0,4.0000E+0,4.3659E-3,3.7500E+0,4.5000E+0,5.5832E-3,3.7500E+0,5.0000E+0
37.7623E-12,3.8000E+0,0.0000E+0,-38.1989E-12,3.8000E+0,500.0000E-3,21.3116E-9,3.8000E+0,1.0000E+0,19.7749E-6,3.8000E+0,1.5000E+0,235.8021E-6,3.8000E+0,2.0000E+0,706.0614E-6,3.8000E+0,2.5000E+0,1.3893E-3,3.8000E+0,3.0000E+0,2.2458E-3,3.8000E+0,3.5000E+0,3.2468E-3,3.8000E+0,4.0000E+0,4.3681E-3,3.8000E+0,4.5000E+0,5.5862E-3,3.8000E+0,5.0000E+0
43.8231E-12,3.8500E+0,0.0000E+0,-46.3304E-12,3.8500E+0,500.0000E-3,21.3092E-9,3.8500E+0,1.0000E+0,19.7867E-6,3.8500E+0,1.5000E+0,235.8914E-6,3.8500E+0,2.0000E+0,706.3900E-6,3.8500E+0,2.5000E+0,1.3898E-3,3.8500E+0,3.0000E+0,2.2467E-3,3.8500E+0,3.5000E+0,3.2482E-3,3.8500E+0,4.0000E+0,4.3701E-3,3.8500E+0,4.5000E+0,5.5892E-3,3.8500E+0,5.0000E+0
34.0754E-12,3.9000E+0,0.0000E+0,-43.5020E-12,3.9000E+0,500.0000E-3,21.3104E-9,3.9000E+0,1.0000E+0,19.7934E-6,3.9000E+0,1.5000E+0,236.0059E-6,3.9000E+0,2.0000E+0,706.7110E-6,3.9000E+0,2.5000E+0,1.3904E-3,3.9000E+0,3.0000E+0,2.2477E-3,3.9000E+0,3.5000E+0,3.2496E-3,3.9000E+0,4.0000E+0,4.3722E-3,3.9000E+0,4.5000E+0,5.5922E-3,3.9000E+0,5.0000E+0
6.7011E-12,3.9500E+0,0.0000E+0,-43.1990E-12,3.9500E+0,500.0000E-3,21.3154E-9,3.9500E+0,1.0000E+0,19.8066E-6,3.9500E+0,1.5000E+0,236.0992E-6,3.9500E+0,2.0000E+0,706.9618E-6,3.9500E+0,2.5000E+0,1.3910E-3,3.9500E+0,3.0000E+0,2.2486E-3,3.9500E+0,3.5000E+0,3.2511E-3,3.9500E+0,4.0000E+0,4.3742E-3,3.9500E+0,4.5000E+0,5.5949E-3,3.9500E+0,5.0000E+0
9.4284E-12,4.0000E+0,0.0000E+0,-50.4719E-12,4.0000E+0,500.0000E-3,21.3220E-9,4.0000E+0,1.0000E+0,19.8142E-6,4.0000E+0,1.5000E+0,236.2126E-6,4.0000E+0,2.0000E+0,707.2728E-6,4.0000E+0,2.5000E+0,1.3916E-3,4.0000E+0,3.0000E+0,2.2496E-3,4.0000E+0,3.5000E+0,3.2525E-3,4.0000E+0,4.0000E+0,4.3761E-3,4.0000E+0,4.5000E+0,5.5976E-3,4.0000E+0,5.0000E+0
25.8934E-12,4.0500E+0,0.0000E+0,-42.1384E-12,4.0500E+0,500.0000E-3,21.3302E-9,4.0500E+0,1.0000E+0,19.8267E-6,4.0500E+0,1.5000E+0,236.3001E-6,4.0500E+0,2.0000E+0,707.5347E-6,4.0500E+0,2.5000E+0,1.3921E-3,4.0500E+0,3.0000E+0,2.2505E-3,4.0500E+0,3.5000E+0,3.2538E-3,4.0500E+0,4.0000E+0,4.3781E-3,4.0500E+0,4.5000E+0,5.6003E-3,4.0500E+0,5.0000E+0
2.8626E-12,4.1000E+0,0.0000E+0,-41.5828E-12,4.1000E+0,500.0000E-3,21.3474E-9,4.1000E+0,1.0000E+0,19.8342E-6,4.1000E+0,1.5000E+0,236.4020E-6,4.1000E+0,2.0000E+0,707.8017E-6,4.1000E+0,2.5000E+0,1.3927E-3,4.1000E+0,3.0000E+0,2.2514E-3,4.1000E+0,3.5000E+0,3.2552E-3,4.1000E+0,4.0000E+0,4.3800E-3,4.1000E+0,4.5000E+0,5.6029E-3,4.1000E+0,5.0000E+0
-470.8178E-15,4.1500E+0,0.0000E+0,-40.4212E-12,4.1500E+0,500.0000E-3,21.3721E-9,4.1500E+0,1.0000E+0,19.8452E-6,4.1500E+0,1.5000E+0,236.4805E-6,4.1500E+0,2.0000E+0,708.0748E-6,4.1500E+0,2.5000E+0,1.3932E-3,4.1500E+0,3.0000E+0,2.2523E-3,4.1500E+0,3.5000E+0,3.2566E-3,4.1500E+0,4.0000E+0,4.3818E-3,4.1500E+0,4.5000E+0,5.6053E-3,4.1500E+0,5.0000E+0
17.0548E-12,4.2000E+0,0.0000E+0,-39.4110E-12,4.2000E+0,500.0000E-3,21.3938E-9,4.2000E+0,1.0000E+0,19.8569E-6,4.2000E+0,1.5000E+0,236.5885E-6,4.2000E+0,2.0000E+0,708.3489E-6,4.2000E+0,2.5000E+0,1.3937E-3,4.2000E+0,3.0000E+0,2.2531E-3,4.2000E+0,3.5000E+0,3.2578E-3,4.2000E+0,4.0000E+0,4.3836E-3,4.2000E+0,4.5000E+0,5.6078E-3,4.2000E+0,5.0000E+0
-2.3395E-12,4.2500E+0,0.0000E+0,-43.0475E-12,4.2500E+0,500.0000E-3,21.4128E-9,4.2500E+0,1.0000E+0,19.8597E-6,4.2500E+0,1.5000E+0,236.6684E-6,4.2500E+0,2.0000E+0,708.6537E-6,4.2500E+0,2.5000E+0,1.3943E-3,4.2500E+0,3.0000E+0,2.2540E-3,4.2500E+0,3.5000E+0,3.2590E-3,4.2500E+0,4.0000E+0,4.3853E-3,4.2500E+0,4.5000E+0,5.6101E-3,4.2500E+0,5.0000E+0
-1.9355E-12,4.3000E+0,0.0000E+0,-39.2090E-12,4.3000E+0,500.0000E-3,21.6430E-9,4.3000E+0,1.0000E+0,19.8691E-6,4.3000E+0,1.5000E+0,236.7660E-6,4.3000E+0,2.0000E+0,708.9277E-6,4.3000E+0,2.5000E+0,1.3948E-3,4.3000E+0,3.0000E+0,2.2549E-3,4.3000E+0,3.5000E+0,3.2603E-3,4.3000E+0,4.0000E+0,4.3871E-3,4.3000E+0,4.5000E+0,5.6126E-3,4.3000E+0,5.0000E+0
12.4082E-12,4.3500E+0,0.0000E+0,-33.5523E-12,4.3500E+0,500.0000E-3,21.5387E-9,4.3500E+0,1.0000E+0,19.8771E-6,4.3500E+0,1.5000E+0,236.8471E-6,4.3500E+0,2.0000E+0,709.1897E-6,4.3500E+0,2.5000E+0,1.3953E-3,4.3500E+0,3.0000E+0,2.2557E-3,4.3500E+0,3.5000E+0,3.2615E-3,4.3500E+0,4.0000E+0,4.3888E-3,4.3500E+0,4.5000E+0,5.6148E-3,4.3500E+0,5.0000E+0
-5.6729E-12,4.4000E+0,0.0000E+0,-21.9360E-12,4.4000E+0,500.0000E-3,21.4734E-9,4.4000E+0,1.0000E+0,19.8854E-6,4.4000E+0,1.5000E+0,236.9448E-6,4.4000E+0,2.0000E+0,709.4421E-6,4.4000E+0,2.5000E+0,1.3958E-3,4.4000E+0,3.0000E+0,2.2565E-3,4.4000E+0,3.5000E+0,3.2628E-3,4.4000E+0,4.0000E+0,4.3905E-3,4.4000E+0,4.5000E+0,5.6169E-3,4.4000E+0,5.0000E+0
-9.4609E-12,4.4500E+0,0.0000E+0,-17.9964E-12,4.4500E+0,500.0000E-3,21.5019E-9,4.4500E+0,1.0000E+0,19.8871E-6,4.4500E+0,1.5000E+0,237.0247E-6,4.4500E+0,2.0000E+0,709.7556E-6,4.4500E+0,2.5000E+0,1.3963E-3,4.4500E+0,3.0000E+0,2.2574E-3,4.4500E+0,3.5000E+0,3.2640E-3,4.4500E+0,4.0000E+0,4.3921E-3,4.4500E+0,4.5000E+0,5.6191E-3,4.4500E+0,5.0000E+0
13.8224E-12,4.5000E+0,0.0000E+0,7.1051E-12,4.5000E+0,500.0000E-3,21.4982E-9,4.5000E+0,1.0000E+0,19.8994E-6,4.5000E+0,1.5000E+0,237.1267E-6,4.5000E+0,2.0000E+0,710.0019E-6,4.5000E+0,2.5000E+0,1.3969E-3,4.5000E+0,3.0000E+0,2.2582E-3,4.5000E+0,3.5000E+0,3.2651E-3,4.5000E+0,4.0000E+0,4.3937E-3,4.5000E+0,4.5000E+0,5.6212E-3,4.5000E+0,5.0000E+0
-8.4003E-12,4.5500E+0,0.0000E+0,-622.3355E-15,4.5500E+0,500.0000E-3,21.4956E-9,4.5500E+0,1.0000E+0,19.9090E-6,4.5500E+0,1.5000E+0,237.2329E-6,4.5500E+0,2.0000E+0,710.2769E-6,4.5500E+0,2.5000E+0,1.3974E-3,4.5500E+0,3.0000E+0,2.2590E-3,4.5500E+0,3.5000E+0,3.2662E-3,4.5500E+0,4.0000E+0,4.3954E-3,4.5500E+0,4.5000E+0,5.6233E-3,4.5500E+0,5.0000E+0
-10.8751E-12,4.6000E+0,0.0000E+0,-4.7639E-12,4.6000E+0,500.0000E-3,21.4990E-9,4.6000E+0,1.0000E+0,19.9131E-6,4.6000E+0,1.5000E+0,237.3292E-6,4.6000E+0,2.0000E+0,710.5505E-6,4.6000E+0,2.5000E+0,1.3979E-3,4.6000E+0,3.0000E+0,2.2598E-3,4.6000E+0,3.5000E+0,3.2675E-3,4.6000E+0,4.0000E+0,4.3969E-3,4.6000E+0,4.5000E+0,5.6253E-3,4.6000E+0,5.0000E+0
-1.4810E-12,4.6500E+0,0.0000E+0,2.7615E-12,4.6500E+0,500.0000E-3,21.4731E-9,4.6500E+0,1.0000E+0,19.9232E-6,4.6500E+0,1.5000E+0,237.4075E-6,4.6500E+0,2.0000E+0,710.7792E-6,4.6500E+0,2.5000E+0,1.3985E-3,4.6500E+0,3.0000E+0,2.2606E-3,4.6500E+0,3.5000E+0,3.2686E-3,4.6500E+0,4.0000E+0,4.3984E-3,4.6500E+0,4.5000E+0,5.6274E-3,4.6500E+0,5.0000E+0
-9.3094E-12,4.7000E+0,0.0000E+0,9.4284E-12,4.7000E+0,500.0000E-3,21.4874E-9,4.7000E+0,1.0000E+0,19.9342E-6,4.7000E+0,1.5000E+0,237.5061E-6,4.7000E+0,2.0000E+0,711.0346E-6,4.7000E+0,2.5000E+0,1.3989E-3,4.7000E+0,3.0000E+0,2.2614E-3,4.7000E+0,3.5000E+0,3.2697E-3,4.7000E+0,4.0000E+0,4.3999E-3,4.7000E+0,4.5000E+0,5.6294E-3,4.7000E+0,5.0000E+0
-19.4106E-12,4.7500E+0,0.0000E+0,589.8060E-15,4.7500E+0,500.0000E-3,21.5155E-9,4.7500E+0,1.0000E+0,19.9422E-6,4.7500E+0,1.5000E+0,237.5771E-6,4.7500E+0,2.0000E+0,711.2501E-6,4.7500E+0,2.5000E+0,1.3994E-3,4.7500E+0,3.0000E+0,2.2621E-3,4.7500E+0,3.5000E+0,3.2708E-3,4.7500E+0,4.0000E+0,4.4014E-3,4.7500E+0,4.5000E+0,5.6313E-3,4.7500E+0,5.0000E+0
10.2365E-12,4.8000E+0,0.0000E+0,-9.1579E-12,4.8000E+0,500.0000E-3,21.5315E-9,4.8000E+0,1.0000E+0,19.9515E-6,4.8000E+0,1.5000E+0,237.6742E-6,4.8000E+0,2.0000E+0,711.5136E-6,4.8000E+0,2.5000E+0,1.3999E-3,4.8000E+0,3.0000E+0,2.2629E-3,4.8000E+0,3.5000E+0,3.2719E-3,4.8000E+0,4.0000E+0,4.4028E-3,4.8000E+0,4.5000E+0,5.6332E-3,4.8000E+0,5.0000E+0
-9.3599E-12,4.8500E+0,0.0000E+0,993.8717E-15,4.8500E+0,500.0000E-3,21.5985E-9,4.8500E+0,1.0000E+0,19.9605E-6,4.8500E+0,1.5000E+0,237.7406E-6,4.8500E+0,2.0000E+0,711.7694E-6,4.8500E+0,2.5000E+0,1.4003E-3,4.8500E+0,3.0000E+0,2.2637E-3,4.8500E+0,3.5000E+0,3.2729E-3,4.8500E+0,4.0000E+0,4.4043E-3,4.8500E+0,4.5000E+0,5.6351E-3,4.8500E+0,5.0000E+0
-8.4003E-12,4.9000E+0,0.0000E+0,-12.9458E-12,4.9000E+0,500.0000E-3,22.0807E-9,4.9000E+0,1.0000E+0,19.9677E-6,4.9000E+0,1.5000E+0,237.8214E-6,4.9000E+0,2.0000E+0,712.0339E-6,4.9000E+0,2.5000E+0,1.4008E-3,4.9000E+0,3.0000E+0,2.2644E-3,4.9000E+0,3.5000E+0,3.2741E-3,4.9000E+0,4.0000E+0,4.4058E-3,4.9000E+0,4.5000E+0,5.6368E-3,4.9000E+0,5.0000E+0
2.9636E-12,4.9500E+0,0.0000E+0,-21.4814E-12,4.9500E+0,500.0000E-3,21.5104E-9,4.9500E+0,1.0000E+0,19.9764E-6,4.9500E+0,1.5000E+0,237.9157E-6,4.9500E+0,2.0000E+0,712.2686E-6,4.9500E+0,2.5000E+0,1.4013E-3,4.9500E+0,3.0000E+0,2.2651E-3,4.9500E+0,3.5000E+0,3.2751E-3,4.9500E+0,4.0000E+0,4.4072E-3,4.9500E+0,4.5000E+0,5.6387E-3,4.9500E+0,5.0000E+0
2.9131E-12,5.0000E+0,0.0000E+0,2.4080E-12,5.0000E+0,500.0000E-3,21.4563E-9,5.0000E+0,1.0000E+0,19.9846E-6,5.0000E+0,1.5000E+0,237.9803E-6,5.0000E+0,2.0000E+0,712.5402E-6,5.0000E+0,2.5000E+0,1.4018E-3,5.0000E+0,3.0000E+0,2.2659E-3,5.0000E+0,3.5000E+0,3.2762E-3,5.0000E+0,4.0000E+0,4.4086E-3,5.0000E+0,4.5000E+0,5.6405E-3,5.0000E+0,5.0000E+0
